kanji	grade	sentence	target	reading	difficulty
圧	5	国語のドリルに圧力が出てきました。	圧力	あつりょく	3
圧	5	父が血圧について説明してくれました。	血圧	けつあつ	4
移	5	先生が黒板に移動と書きました。	移動	いどう	2
移	5	図書館で移転についての本を借りました。	移転	いてん	3
因	5	日記に原因を使ってみました。	原因	げんいん	3
因	5	父が因果について説明してくれました。	因果	いんが	4
永	5	国語のドリルに永久が出てきました。	永久	えいきゅう	3
永	5	見学先で永遠を体験しました。	永遠	えいえん	3
営	5	先生が黒板に営業と書きました。	営業	えいぎょう	2
営	5	授業で営むのしくみを学びました。	営む	いとなむ	3
衛	5	友だちが衛生と言っていました。	衛生	えいせい	3
衛	5	父が防衛について説明してくれました。	防衛	ぼうえい	4
易	5	テストで安易の読みを書きました。	安易	あんい	2
易	5	将来貿易に関わる仕事がしたいです。	貿易	ぼうえき	3
益	5	辞書で利益の意味を調べました。	利益	りえき	3
益	5	父が収益について説明してくれました。	収益	しゅうえき	4
液	5	友だちが液体と言っていました。	液体	えきたい	2
液	5	自由研究のテーマを血液に決めました。	血液	けつえき	3
演	5	授業で演奏という言葉を習いました。	演奏	えんそう	3
演	5	将来公演に関わる仕事がしたいです。	公演	こうえん	3
応	5	日記に応援を使ってみました。	応援	おうえん	2
応	5	図書館で反応についての本を借りました。	反応	はんのう	3
往	5	友だちが往復と言っていました。	往復	おうふく	3
往	5	ニュースで往来が話題になっていました。	往来	おうらい	4
桜	5	友だちが桜と言っていました。	桜	さくら	1
桜	5	授業で桜並木のしくみを学びました。	桜並木	さくらなみき	2
恩	5	テストで恩返しの読みを書きました。	恩返し	おんがえし	3
恩	5	父が恩人について説明してくれました。	恩人	おんじん	4
可	5	先生が黒板に可能と書きました。	可能	かのう	2
可	5	ニュースで可決が話題になっていました。	可決	かけつ	3
仮	5	先生が黒板に仮定と書きました。	仮定	かてい	3
仮	5	自由研究のテーマを仮名に決めました。	仮名	かな	2
価	5	国語のドリルに価格が出てきました。	価格	かかく	3
価	5	見学先で価値を体験しました。	価値	かち	3
河	5	友だちが河川と言っていました。	河川	かせん	2
河	5	見学先で黄河を体験しました。	黄河	こうが	4
過	5	テストで過去の読みを書きました。	過去	かこ	2
過	5	授業で通過のしくみを学びました。	通過	つうか	3
賀	5	国語のドリルに祝賀が出てきました。	祝賀	しゅくが	4
賀	5	ニュースで年賀状が話題になっていました。	年賀状	ねんがじょう	3
快	5	国語のドリルに快適が出てきました。	快適	かいてき	2
快	5	父が快速について説明してくれました。	快速	かいそく	3
解	5	辞書で解答の意味を調べました。	解答	かいとう	2
解	5	図書館で分解についての本を借りました。	分解	ぶんかい	3
格	5	辞書で資格の意味を調べました。	資格	しかく	3
格	5	将来格好に関わる仕事がしたいです。	格好	かっこう	2
確	5	テストで確認の読みを書きました。	確認	かくにん	2
確	5	自由研究のテーマを確実に決めました。	確実	かくじつ	3
額	5	辞書で金額の意味を調べました。	金額	きんがく	3
額	5	授業で額縁のしくみを学びました。	額縁	がくぶち	4
刊	5	友だちが週刊と言っていました。	週刊	しゅうかん	3
刊	5	自由研究のテーマを朝刊に決めました。	朝刊	ちょうかん	3
幹	5	日記に幹線を使ってみました。	幹線	かんせん	4
幹	5	ニュースで幹事が話題になっていました。	幹事	かんじ	3
慣	5	国語のドリルに習慣が出てきました。	習慣	しゅうかん	2
慣	5	将来慣れるに関わる仕事がしたいです。	慣れる	なれる	1
眼	5	先生が黒板に眼科と書きました。	眼科	がんか	3
眼	5	父が眼鏡について説明してくれました。	眼鏡	めがね	2
基	5	国語のドリルに基本が出てきました。	基本	きほん	2
基	5	授業で基礎のしくみを学びました。	基礎	きそ	3
寄	5	日記に寄付を使ってみました。	寄付	きふ	3
寄	5	ニュースで寄り道が話題になっていました。	寄り道	よりみち	2
規	5	国語のドリルに規則が出てきました。	規則	きそく	2
規	5	将来規模に関わる仕事がしたいです。	規模	きぼ	3
技	5	辞書で技術の意味を調べました。	技術	ぎじゅつ	3
技	5	将来競技に関わる仕事がしたいです。	競技	きょうぎ	3
義	5	国語のドリルに義務が出てきました。	義務	ぎむ	3
義	5	父が正義について説明してくれました。	正義	せいぎ	3
逆	5	国語のドリルに逆転が出てきました。	逆転	ぎゃくてん	3
逆	5	ニュースで逆立ちが話題になっていました。	逆立ち	さかだち	4
久	5	先生が黒板に久しぶりと書きました。	久しぶり	ひさしぶり	2
久	5	ニュースで久々が話題になっていました。	久々	ひさびさ	2
旧	5	先生が黒板に旧友と書きました。	旧友	きゅうゆう	3
旧	5	父が旧跡について説明してくれました。	旧跡	きゅうせき	4
居	5	日記に居間を使ってみました。	居間	いま	1
居	5	父が居住について説明してくれました。	居住	きょじゅう	4
許	5	辞書で許可の意味を調べました。	許可	きょか	3
許	5	ニュースで許すが話題になっていました。	許す	ゆるす	2
境	5	国語のドリルに国境が出てきました。	国境	こっきょう	4
境	5	図書館で境界についての本を借りました。	境界	きょうかい	3
均	5	先生が黒板に平均と書きました。	平均	へいきん	2
均	5	授業で均等のしくみを学びました。	均等	きんとう	3
禁	5	テストで禁止の読みを書きました。	禁止	きんし	2
禁	5	将来禁煙に関わる仕事がしたいです。	禁煙	きんえん	3
句	5	授業で俳句という言葉を習いました。	俳句	はいく	2
句	5	将来句読点に関わる仕事がしたいです。	句読点	くとうてん	3
群	5	授業で群れという言葉を習いました。	群れ	むれ	1
群	5	見学先で群集を体験しました。	群集	ぐんしゅう	4
経	5	日記に経済を使ってみました。	経済	けいざい	3
経	5	図書館で経験についての本を借りました。	経験	けいけん	2
潔	5	テストで清潔の読みを書きました。	清潔	せいけつ	2
潔	5	授業で潔白のしくみを学びました。	潔白	けっぱく	4
件	5	友だちが事件と言っていました。	事件	じけん	3
件	5	将来条件に関わる仕事がしたいです。	条件	じょうけん	3
券	5	辞書で乗車券の意味を調べました。	乗車券	じょうしゃけん	3
券	5	授業で定期券のしくみを学びました。	定期券	ていきけん	3
険	5	友だちが危険と言っていました。	危険	きけん	2
険	5	父が険しいについて説明してくれました。	険しい	けわしい	3
検	5	国語のドリルに検査が出てきました。	検査	けんさ	2
検	5	図書館で点検についての本を借りました。	点検	てんけん	3
限	5	辞書で制限の意味を調べました。	制限	せいげん	3
限	5	授業で限界のしくみを学びました。	限界	げんかい	3
現	5	国語のドリルに現象が出てきました。	現象	げんしょう	3
現	5	父が現代について説明してくれました。	現代	げんだい	3
減	5	先生が黒板に減少と書きました。	減少	げんしょう	3
減	5	図書館で減税についての本を借りました。	減税	げんぜい	4
故	5	日記に事故を使ってみました。	事故	じこ	3
故	5	父が故郷について説明してくれました。	故郷	こきょう	2
個	5	授業で個人という言葉を習いました。	個人	こじん	2
個	5	授業で個数のしくみを学びました。	個数	こすう	3
護	5	先生が黒板に保護と書きました。	保護	ほご	2
護	5	図書館で護衛についての本を借りました。	護衛	ごえい	4
効	5	友だちが効果と言っていました。	効果	こうか	2
効	5	図書館で有効についての本を借りました。	有効	ゆうこう	3
厚	5	授業で厚いという言葉を習いました。	厚い	あつい	1
厚	5	自由研究のテーマを厚意に決めました。	厚意	こうい	4
耕	5	辞書で農耕の意味を調べました。	農耕	のうこう	4
耕	5	見学先で耕地を体験しました。	耕地	こうち	3
鉱	5	先生が黒板に鉱山と書きました。	鉱山	こうざん	3
鉱	5	授業で鉱石のしくみを学びました。	鉱石	こうせき	3
構	5	先生が黒板に構造と書きました。	構造	こうぞう	3
構	5	授業で構想のしくみを学びました。	構想	こうそう	4
興	5	日記に興味を使ってみました。	興味	きょうみ	2
