kanji	grade	sentence	target	reading	difficulty
愛	4	今日の授業で愛情を習いました。	愛情	あいじょう	2
愛	4	インターネットで愛犬を調べてまとめました。	愛犬	あいけん	3
案	4	先生が案内について説明しました。	案内	あんない	2
案	4	将来提案にかかわる仕事をしたいです。	提案	ていあん	3
以	4	日記に以上を使ってみました。	以上	いじょう	2
以	4	自由研究のテーマを以内に決めました。	以内	いない	2
衣	4	今日の授業で衣服を習いました。	衣服	いふく	2
衣	4	将来衣料にかかわる仕事をしたいです。	衣料	いりょう	3
位	4	辞書で位置の意味を調べました。	位置	いち	2
位	4	番組で順位の特集を見ました。	順位	じゅんい	3
囲	4	国語のテストで周囲の読みを書きました。	周囲	しゅうい	3
囲	4	見学先で囲むを実際に体験しました。	囲む	かこむ	2
胃	4	今日の授業で胃腸を習いました。	胃腸	いちょう	4
胃	4	ニュースで胃痛が話題になっていました。	胃痛	いつう	3
印	4	ドリルに印刷が出てきました。	印刷	いんさつ	3
印	4	見学先で印鑑を実際に体験しました。	印鑑	いんかん	3
英	4	辞書で英語の意味を調べました。	英語	えいご	2
英	4	見学先で英国を実際に体験しました。	英国	えいこく	3
栄	4	友だちが栄養と言っていました。	栄養	えいよう	3
栄	4	ニュースで栄光が話題になっていました。	栄光	えいこう	4
塩	4	今日の授業で食塩を習いました。	食塩	しょくえん	2
塩	4	将来塩水にかかわる仕事をしたいです。	塩水	しおみず	2
億	4	先生が一億について説明しました。	一億	いちおく	3
億	4	先生が億万長者の大切さを教えてくれました。	億万長者	おくまんちょうじゃ	4
加	4	家で追加を練習しました。	追加	ついか	2
加	4	自由研究のテーマを加速に決めました。	加速	かそく	3
果	4	今日の授業で結果を習いました。	結果	けっか	2
果	4	見学先で果実を実際に体験しました。	果実	かじつ	3
貨	4	新聞に貨物という言葉がありました。	貨物	かもつ	3
貨	4	自由研究のテーマを通貨に決めました。	通貨	つうか	3
課	4	今日の授業で課題を習いました。	課題	かだい	3
課	4	自由研究のテーマを課金に決めました。	課金	かきん	4
