kanji	grade	sentence	target	reading	difficulty
異	6	辞書で異なるを調べました。	異なる	ことなる	2
異	6	父が異常の仕組みを教えてくれました。	異常	いじょう	3
遺	6	日記に遺跡を使いました。	遺跡	いせき	4
遺	6	父が遺伝の仕組みを教えてくれました。	遺伝	いでん	4
域	6	日記に地域を使いました。	地域	ちいき	2
域	6	見学で領域を体験しました。	領域	りょういき	3
宇	6	授業で宇宙という語を習いました。	宇宙	うちゅう	2
宇	6	将来宇宙船にかかわる仕事がしたいです。	宇宙船	うちゅうせん	3
映	6	辞書で映画を調べました。	映画	えいが	2
映	6	将来映像にかかわる仕事がしたいです。	映像	えいぞう	3
延	6	授業で延期という語を習いました。	延期	えんき	3
延	6	図書館で延長の本を借りました。	延長	えんちょう	2
沿	6	日記に沿岸を使いました。	沿岸	えんがん	4
沿	6	ニュースで沿うが話題でした。	沿う	そう	2
我	6	授業で我慢という語を習いました。	我慢	がまん	2
我	6	父が我が家の仕組みを教えてくれました。	我が家	わがや	3
灰	6	辞書で灰色を調べました。	灰色	はいいろ	1
灰	6	父が石灰の仕組みを教えてくれました。	石灰	せっかい	4
拡	6	授業で拡大という語を習いました。	拡大	かくだい	2
拡	6	図書館で拡張の本を借りました。	拡張	かくちょう	3
革	6	先生が改革について説明しました。	改革	かいかく	3
革	6	自由研究で皮革を調べました。	皮革	ひかく	4
閣	6	先生が内閣について説明しました。	内閣	ないかく	3
閣	6	自由研究で閣議を調べました。	閣議	かくぎ	4
割	6	辞書で割れるを調べました。	割れる	われる	1
割	6	父が割合の仕組みを教えてくれました。	割合	わりあい	2
株	6	友だちが株式と言いました。	株式	かぶしき	3
株	6	将来株価にかかわる仕事がしたいです。	株価	かぶか	4
干	6	友だちが干すと言いました。	干す	ほす	1
干	6	見学で干潮を体験しました。	干潮	かんちょう	4
巻	6	辞書で巻くを調べました。	巻く	まく	1
巻	6	将来上巻にかかわる仕事がしたいです。	上巻	じょうかん	3
看	6	友だちが看板と言いました。	看板	かんばん	2
看	6	見学で看護を体験しました。	看護	かんご	3
簡	6	辞書で簡単を調べました。	簡単	かんたん	2
簡	6	父が簡易の仕組みを教えてくれました。	簡易	かんい	3
危	6	ドリルに危険が出ました。	危険	きけん	2
危	6	ニュースで危ういが話題でした。	危うい	あやうい	3
机	6	友だちが机と言いました。	机	つくえ	1
机	6	将来学習机にかかわる仕事がしたいです。	学習机	がくしゅうづくえ	2
揮	6	授業で指揮という語を習いました。	指揮	しき	3
揮	6	図書館で発揮の本を借りました。	発揮	はっき	3
貴	6	辞書で貴重を調べました。	貴重	きちょう	3
貴	6	見学で貴族を体験しました。	貴族	きぞく	4
疑	6	ドリルに疑問が出ました。	疑問	ぎもん	2
疑	6	見学で容疑を体験しました。	容疑	ようぎ	4
吸	6	日記に吸うを使いました。	吸う	すう	1
吸	6	自由研究で呼吸を調べました。	呼吸	こきゅう	2
供	6	ドリルに供給が出ました。	供給	きょうきゅう	3
