kanji	grade	sentence	target	reading	difficulty
一	1	一つずつ数える。	一	ひと	2
一	1	一月はさむい。	一月	いちがつ	1
右	1	右の手をあげる。	右	みぎ	1
右	1	道を右へ曲がった。	右	みぎ	1
雨	1	朝から雨がふる。	雨	あめ	1
雨	1	雨雲が空をおおう。	雨雲	あまぐも	2
円	1	紙に円をえがく。	円	えん	1
円	1	百円玉をわたす。	円	えん	1
王	1	王さまが玉座にすわる。	王	おう	1
王	1	小さな国の王になる。	王	おう	2
音	1	太鼓の音がひびく。	音	おと	1
音	1	鳥の音をきいた。	音	おと	1
下	1	下におりてください。	下	した	1
下	1	机の下に入る。	下	した	1
火	1	火をつけてはいけない。	火	ひ	1
火	1	山に火が見えた。	火	ひ	2
花	1	花がさく。	花	はな	1
花	1	花びんに花をさす。	花	はな	1
貝	1	海で貝をひろう。	貝	かい	1
貝	1	貝がらをあつめた。	貝	かい	1
学	1	学校に行く。	学校	がっこう	1
学	1	学ぶことは楽しい。	学	まな	2
気	1	気持ちがうれしい。	気持ち	きもち	1
気	1	元気にあいさつ。	元気	げんき	1
九	1	九つの星が光る。	九つ	ここのつ	2
九	1	九才になった。	九	きゅう	1
休	1	今日は休む。	休	やす	2
休	1	休日に公園へ行く。	休日	きゅうじつ	1
玉	1	雪玉をつくる。	玉	だま	2
玉	1	王さまの玉は光る。	玉	ぎょく	2
金	1	金色の鐘がならぶ。	金	きん	1
金	1	お金を大切にする。	金	かね	2
空	1	青い空を見上げた。	空	そら	1
空	1	飛行機が空を飛ぶ。	空	そら	1
月	1	満月がきれいだ。	月	つき	1
月	1	月曜日に会おう。	月曜	げつよう	1
犬	1	犬がほえる。	犬	いぬ	1
犬	1	白い犬と遊ぶ。	犬	いぬ	1
見	1	星を見る。	見	み	1
見	1	見本を見せる。	見本	みほん	2
五	1	五つのりんごを分けた。	五	いつ	1
五	1	五回もやり直した。	五	ご	2
口	1	大きな口で笑った。	口	くち	1
口	1	その子は口がかたい。	口	くち	2
校	1	校庭で友だちと遊んだ。	校庭	こうてい	1
校	1	校歌を大きな声で歌った。	校歌	こうか	2
左	1	左側を歩こう。	左	ひだり	1
左	1	左目を閉じた。	左	ひだり	2
三	1	三人で手をつなぐ。	三人	さんにん	1
三	1	三日月が出た。	三日月	みかづき	2
山	1	山の上で風がふく。	山	やま	1
山	1	小さな山道を歩く。	山道	やまみち	2
子	1	子犬がかわいい。	子犬	こいぬ	1
子	1	子どもが走る。	子ども	こ	1
四	1	四角をかく。	四角	しかく	1
四	1	四月に入学した。	四月	しがつ	1
糸	1	糸をむすぶ。	糸	いと	1
糸	1	白い糸でぬう。	糸	いと	1
字	1	字をていねいに書く。	字	じ	1
字	1	漢字を覚える。	漢字	かんじ	2
耳	1	耳で音をきく。	耳	みみ	1
耳	1	耳かきでそうじ。	耳	みみ	2
七	1	七つの星を見る。	七つ	ななつ	1
七	1	七月は暑い。	七月	しちがつ	1
車	1	車が道を走る。	車	くるま	1
車	1	電車に乗った。	電車	でんしゃ	2
手	1	手をあらう。	手	て	1
手	1	上手に折り紙を折る。	上手	じょうず	2
十	1	十本のえんぴつ。	十	じゅう	1
十	1	十分待った。	十分	じゅっぷん	2
出	1	外に出る。	出	で	1
出	1	出口をさがす。	出口	でぐち	2
女	1	女の子がうたう。	女の子	おんなのこ	1
女	1	女性が話した。	女性	じょせい	2
小	1	小さな家に住む。	小	ちい	1
小	1	小川が流れる。	小川	おがわ	2
上	1	上にのぼる。	上	うえ	1
上	1	上手にできた。	上手	じょうず	2
森	1	森で鳥が鳴く。	森	もり	1
森	1	深い森へ入る。	森	もり	2
人	1	人があつまる。	人	ひと	1
人	1	大人も子どもも一人。	一人	ひとり	2
水	1	水をのむ。	水	みず	1
水	1	水道から水が出る。	水道	すいどう	2
正	1	正しい答えを書く。	正	ただ	1
正	1	正月にあそぶ。	正月	しょうがつ	2
生	1	生まれたばかりの鳥。	生	う	2
生	1	学生がならんだ。	学生	がくせい	1
青	1	青い空が広がる。	青	あお	1
青	1	青信号でわたる。	青信号	あおしんごう	2
夕	1	夕やけがきれい。	夕やけ	ゆう	1
夕	1	夕方に遊ぶ。	夕方	ゆうがた	1
石	1	石をひろった。	石	いし	1
石	1	石橋をわたる。	石橋	いしばし	2
赤	1	赤い花が咲く。	赤	あか	1
赤	1	赤字になった。	赤字	あかじ	2
千	1	千本のさくら。	千	せん	1
千	1	千円をはらう。	千円	せんえん	1
川	1	川の水がきれい。	川	かわ	1
川	1	山川で釣りをした。	山川	さんせん	2
先	1	先生と話す。	先生	せんせい	1
先	1	先に行ってね。	先	さき	1
早	1	早起きは気持ちいい。	早起き	はやおき	1
早	1	早口で読む。	早口	はやくち	2
草	1	草原で走る。	草原	そうげん	2
草	1	草をむしる。	草	くさ	1
足	1	足でける。	足	あし	1
足	1	足し算をする。	足し算	たしざん	2
村	1	小さな村に住む。	村	むら	1
村	1	山村をたずねる。	山村	さんそん	2
大	1	大きな声で歌う。	大	おお	1
大	1	大人になる。	大人	おとな	2
男	1	男の子が走る。	男	おとこ	1
男	1	男子が集まる。	男子	だんし	2
竹	1	竹林に入る。	竹林	ちくりん	2
竹	1	竹の笛を吹く。	竹	たけ	1
中	1	中に入る。	中	なか	1
中	1	中国に行く。	中国	ちゅうごく	2
虫	1	虫が飛んだ。	虫	むし	1
虫	1	昆虫の本を見る。	昆虫	こんちゅう	2
町	1	町を歩く。	町	まち	1
町	1	町内会に出た。	町内	ちょうない	2
天	1	天気がいい。	天気	てんき	1
天	1	天の川を見た。	天	てん	2
田	1	田んぼであそぶ。	田んぼ	た	1
田	1	水田に水を入れる。	水田	すいでん	2
土	1	土をほる。	土	つち	1
土	1	粘土でつくる。	粘土	ねんど	2
二	1	二人で行く。	二人	ふたり	1
二	1	二月に雪がふる。	二月	にがつ	1
日	1	日がのぼる。	日	ひ	1
日	1	休日の日曜日。	日曜	にちよう	2
入	1	家に入る。	入	はい	1
入	1	入学式に出る。	入学	にゅうがく	2
年	1	一年が始まる。	一年	いちねん	1
年	1	年上の人。	年上	としうえ	2
白	1	白い雲が出た。	白	しろ	1
白	1	白鳥が飛ぶ。	白鳥	はくちょう	2
八	1	八つの風船。	八つ	やっつ	1
八	1	八百屋で買う。	八百屋	やおや	2
百	1	百円玉を拾う。	百円	ひゃくえん	1
百	1	百科事典を読む。	百科	ひゃっか	2
文	1	文章を書く。	文章	ぶんしょう	2
文	1	文化祭に行く。	文化	ぶんか	2
木	1	木を植える。	木	き	1
木	1	木陰で休む。	木陰	こかげ	2
本	1	本を読む。	本	ほん	1
本	1	絵本が好き。	絵本	えほん	2
名	1	名前を書く。	名前	なまえ	1
名	1	有名な絵を見た。	有名	ゆうめい	2
目	1	目をとじる。	目	め	1
目	1	目的を言う。	目的	もくてき	2
立	1	立って話す。	立	た	1
立	1	成立を祝う。	成立	せいりつ	2
力	1	力を入れる。	力	ちから	1
力	1	努力が実る。	努力	どりょく	2
林	1	林で鳥を見る。	林	はやし	1
林	1	森林を守る。	森林	しんりん	2
六	1	六つの卵を買う。	六つ	むっつ	1
六	1	六月に梅雨がくる。	六月	ろくがつ	1
