kanji	grade	sentence	target	reading	difficulty
悪	3	先生が黒板に悪いと書いて説明しました。	悪い	わるい	2
悪	3	新聞で悪口のニュースを読みました。	悪口	わるぐち	3
安	3	友だちが安いと言っていて意味を調べました。	安い	やすい	1
安	3	インターネットで安全を調べてまとめました。	安全	あんぜん	2
暗	3	日記に暗いという語を使ってみました。	暗い	くらい	2
暗	3	兄が暗号のことを詳しく説明してくれました。	暗号	あんごう	3
医	3	先生が黒板に医者と書いて説明しました。	医者	いしゃ	3
医	3	授業で医院の仕組みを学びました。	医院	いいん	4
委	3	先生が黒板に委員会と書いて説明しました。	委員会	いいんかい	3
委	3	ぼくは将来委託にかかわる仕事がしたいです。	委託	いたく	4
意	3	家で意見を声に出して練習しました。	意見	いけん	2
意	3	新聞で意思のニュースを読みました。	意思	いし	3
育	3	今日の授業で育てるという言葉を習いました。	育てる	そだてる	2
育	3	図書館で教育についての本を借りました。	教育	きょういく	3
員	3	日記に店員という語を使ってみました。	店員	てんいん	1
員	3	インターネットで会員を調べてまとめました。	会員	かいいん	2
院	3	病院と同じ漢字を使う言葉を探しました。	病院	びょういん	2
院	3	ぼくは将来大学院にかかわる仕事がしたいです。	大学院	だいがくいん	4
飲	3	今日の授業で飲むという言葉を習いました。	飲む	のむ	1
飲	3	授業で飲み物の仕組みを学びました。	飲み物	のみもの	2
運	3	日記に運ぶという語を使ってみました。	運ぶ	はこぶ	2
運	3	授業で運動の仕組みを学びました。	運動	うんどう	3
泳	3	家で泳ぐを声に出して練習しました。	泳ぐ	およぐ	2
泳	3	インターネットで水泳を調べてまとめました。	水泳	すいえい	3
駅	3	漫画に駅前と書いてあって読めました。	駅前	えきまえ	2
駅	3	ぼくは将来駅員にかかわる仕事がしたいです。	駅員	えきいん	3
央	3	友だちが中央と言っていて意味を調べました。	中央	ちゅうおう	3
央	3	新聞で中央線のニュースを読みました。	中央線	ちゅうおうせん	4
横	3	ドリルの問題に横断が出てきました。	横断	おうだん	3
横	3	父が横顔の仕事をしています。	横顔	よこがお	4
屋	3	国語のテストで屋根の読みを書きました。	屋根	やね	2
屋	3	社会科見学で本屋を実際に見学しました。	本屋	ほんや	2
温	3	ドリルの問題に温かいが出てきました。	温かい	あたたかい	2
温	3	インターネットで温度を調べてまとめました。	温度	おんど	3
化	3	国語のテストで変化の読みを書きました。	変化	へんか	3
化	3	図書館で化学についての本を借りました。	化学	かがく	3
荷	3	先生が黒板に荷物と書いて説明しました。	荷物	にもつ	2
荷	3	父が出荷の仕事をしています。	出荷	しゅっか	4
界	3	先生が黒板に世界と書いて説明しました。	世界	せかい	2
界	3	自由研究のテーマを業界に決めました。	業界	ぎょうかい	4
開	3	国語のテストで開くの読みを書きました。	開く	ひらく	2
開	3	ぼくは将来公開にかかわる仕事がしたいです。	公開	こうかい	4
階	3	友だちが階段と言っていて意味を調べました。	階段	かいだん	2
階	3	新聞で三階のニュースを読みました。	三階	さんがい	3
寒	3	漫画に寒いと書いてあって読めました。	寒い	さむい	1
寒	3	授業で寒気の仕組みを学びました。	寒気	さむけ	3
感	3	先生が黒板に感想と書いて説明しました。	感想	かんそう	3
感	3	父が感動の仕事をしています。	感動	かんどう	3
漢	3	先生が黒板に漢字と書いて説明しました。	漢字	かんじ	2
漢	3	授業で漢方の仕組みを学びました。	漢方	かんぽう	4
館	3	友だちが図書館と言っていて意味を調べました。	図書館	としょかん	2
館	3	ぼくは将来旅館にかかわる仕事がしたいです。	旅館	りょかん	3
岸	3	国語のテストで岸辺の読みを書きました。	岸辺	きしべ	3
岸	3	ぼくは将来海岸にかかわる仕事がしたいです。	海岸	かいがん	3
起	3	日記に起きるという語を使ってみました。	起きる	おきる	2
起	3	図書館で起立についての本を借りました。	起立	きりつ	4
期	3	今日の授業で期間という言葉を習いました。	期間	きかん	3
期	3	インターネットで学期を調べてまとめました。	学期	がっき	2
客	3	友だちが客室と言っていて意味を調べました。	客室	きゃくしつ	3
客	3	図書館で乗客についての本を借りました。	乗客	じょうきゃく	4
究	3	日記に研究という語を使ってみました。	研究	けんきゅう	3
究	3	図書館で究明についての本を借りました。	究明	きゅうめい	4
急	3	家で急ぐを声に出して練習しました。	急ぐ	いそぐ	2
急	3	社会科見学で急行を実際に見学しました。	急行	きゅうこう	3
級	3	漫画に学級と書いてあって読めました。	学級	がっきゅう	2
級	3	自由研究のテーマを上級に決めました。	上級	じょうきゅう	3
宮	3	ドリルの問題に神宮が出てきました。	神宮	じんぐう	3
宮	3	自由研究のテーマを宮殿に決めました。	宮殿	きゅうでん	4
球	3	国語のテストで野球の読みを書きました。	野球	やきゅう	2
球	3	インターネットで地球を調べてまとめました。	地球	ちきゅう	3
去	3	友だちが去ると言っていて意味を調べました。	去る	さる	2
去	3	図書館で去年についての本を借りました。	去年	きょねん	2
橋	3	作文で橋を使ったら先生にほめられました。	橋	はし	2
橋	3	兄が鉄橋のことを詳しく説明してくれました。	鉄橋	てっきょう	4
業	3	工業と同じ漢字を使う言葉を探しました。	工業	こうぎょう	3
業	3	インターネットで卒業を調べてまとめました。	卒業	そつぎょう	3
曲	3	ドリルの問題に曲がるが出てきました。	曲がる	まがる	2
曲	3	ニュースで歌曲が重要だと言っていました。	歌曲	かきょく	4
局	3	家で郵便局を声に出して練習しました。	郵便局	ゆうびんきょく	2
局	3	社会科見学で局面を実際に見学しました。	局面	きょくめん	4
銀	3	銀行と同じ漢字を使う言葉を探しました。	銀行	ぎんこう	2
銀	3	インターネットで水銀を調べてまとめました。	水銀	すいぎん	4
区	3	国語のテストで地区の読みを書きました。	地区	ちく	3
区	3	新聞で区役所のニュースを読みました。	区役所	くやくしょ	4
苦	3	日記に苦いという語を使ってみました。	苦い	にがい	2
苦	3	新聞で苦労のニュースを読みました。	苦労	くろう	4
具	3	国語のテストで道具の読みを書きました。	道具	どうぐ	2
具	3	父が家具の仕事をしています。	家具	かぐ	3
君	3	友だちが君と言っていて意味を調べました。	君	きみ	2
君	3	図書館で君主についての本を借りました。	君主	くんしゅ	4
係	3	日記に係員という語を使ってみました。	係員	かかりいん	3
係	3	ぼくは将来関係にかかわる仕事がしたいです。	関係	かんけい	4
軽	3	国語のテストで軽いの読みを書きました。	軽い	かるい	1
軽	3	インターネットで軽量を調べてまとめました。	軽量	けいりょう	4
血	3	漫画に血と書いてあって読めました。	血	ち	2
血	3	父が血液の仕事をしています。	血液	けつえき	4
決	3	漫画に決めると書いてあって読めました。	決める	きめる	2
決	3	兄が決定のことを詳しく説明してくれました。	決定	けってい	3
研	3	友だちが研究と言っていて意味を調べました。	研究	けんきゅう	3
研	3	兄が研修のことを詳しく説明してくれました。	研修	けんしゅう	3
県	3	日記に県庁という語を使ってみました。	県庁	けんちょう	3
県	3	授業で県立の仕組みを学びました。	県立	けんりつ	3
庫	3	車庫と同じ漢字を使う言葉を探しました。	車庫	しゃこ	2
庫	3	社会科見学で倉庫を実際に見学しました。	倉庫	そうこ	3
湖	3	作文で湖を使ったら先生にほめられました。	湖	みずうみ	2
湖	3	父が湖水の仕事をしています。	湖水	こすい	4
向	3	作文で向かうを使ったら先生にほめられました。	向かう	むかう	2
向	3	父が方向の仕事をしています。	方向	ほうこう	3
